epoch,total_loss,task_loss,distill_loss,intermediate_loss,val_psnr,lr,alpha,beta
1,0.020581147391349076,0.015603110734373331,0.007365524349734187,0.9096830081939697,37.48392663431593,0.0001,0.5,0.01
2,0.015168226975947618,0.013419716097414493,0.004955416270531714,0.5980660903453827,37.69188012680451,0.0001,0.5,0.01
3,0.014236500579863786,0.013711702115833758,0.004622370768338442,0.5069464224576951,37.78166314914757,0.0001,0.5,0.01
4,0.013479964137077331,0.013424121718853712,0.004377440051175654,0.4579183346033096,37.83120505724096,0.0001,0.5,0.01
5,0.01272429671138525,0.01312104707583785,0.0038696898380294444,0.42289284348487854,37.8737679445798,0.0001,0.5,0.01
6,0.01236954404041171,0.012993366252630948,0.003684923120308667,0.4030399358272552,37.928322334268614,0.0001,0.5,0.01
7,0.01218353477306664,0.013061380609869958,0.0037042282964102925,0.3800730413198471,37.93597467188308,0.0001,0.5,0.01
8,0.012113443333655596,0.013123221267014741,0.0036549959937110543,0.3724334841966629,37.94231433684885,0.0001,0.5,0.01
9,0.012321903482079505,0.013705556634813548,0.003658645683899522,0.3639802414178848,37.97097403854744,0.0001,0.5,0.01
10,0.011883072815835475,0.013126357840374112,0.0035180196515284478,0.3560884261131287,37.96730560071807,0.0001,0.5,0.01
11,0.011421790476888419,0.012833438590168953,0.0031987065798603,0.3405717903375626,37.98921784314258,0.0001,0.5,0.01
12,0.011879217140376567,0.013533117165789008,0.003429538910277188,0.3397889220714569,37.99588829749623,0.0001,0.5,0.01
13,0.011692418539896608,0.013226504223421216,0.003473674692213535,0.33423290610313416,37.98106836201081,0.0001,0.5,0.01
14,0.012126573603600263,0.013854969432577491,0.003567385608330369,0.3415396159887314,37.98668681714092,0.0001,0.5,0.01
15,0.011467000842094422,0.012977684047073126,0.0033798344829119743,0.32882416129112246,37.97359432862003,0.0001,0.5,0.01
16,0.011616318859159947,0.013565987646579743,0.0032215578947216274,0.3222546166181564,38.00379015998915,0.0001,0.5,0.01
17,0.011735845124348998,0.013592060767114162,0.0034148650453425943,0.32323822438716887,38.00768848947042,0.0001,0.5,0.01
18,0.01143928524106741,0.013288966314867139,0.003311622051987797,0.3138991168141365,37.99996468202298,0.0001,0.5,0.01
19,0.011306288195773959,0.013279869761317968,0.003165602551307529,0.3083552199602127,37.997774624377726,0.0001,0.5,0.01
20,0.010598869230598211,0.012411563871428371,0.002848469130694866,0.29688528180122375,38.01701739586731,0.0001,0.5,0.01
21,0.011160895265638827,0.013087562657892704,0.003149973130784929,0.304212749004364,37.99183497089264,0.0001,0.5,0.01
22,0.010939399898052215,0.012987078633159399,0.0030113958544097843,0.29401627093553545,38.02154124653352,0.0001,0.5,0.01
23,0.01067753124050796,0.012592188399285078,0.002871983596123755,0.29454453945159914,38.01989570573503,0.0001,0.5,0.01
24,0.010703486744314433,0.01266804277896881,0.002929366724565625,0.2904782047867775,38.01966017822877,0.0001,0.5,0.01
25,0.010922737577930093,0.013008356485515833,0.0029986539063975217,0.2919232460856438,38.00504881825252,0.0001,0.5,0.01
26,0.011026480961591005,0.013156783953309058,0.0030400377442128955,0.2928070059418678,38.024580505334455,0.0001,0.5,0.01
27,0.010763413002714516,0.012902021184563637,0.0028489128802902997,0.288794601559639,38.03269555452802,0.0001,0.5,0.01
28,0.010789804290980101,0.012911082431674003,0.0029476940142922105,0.2860416114330292,38.036405267193,0.0001,0.5,0.01
29,0.011174493068829179,0.013439545361325144,0.0030045174271799624,0.2952461743354797,38.05847520284281,0.0001,0.5,0.01
30,0.010705187683925033,0.012795472629368304,0.002912275770213455,0.28513135373592374,38.06582634550513,0.0001,0.5,0.01
31,0.010700469054281712,0.012829576982185245,0.0028709414578042924,0.28502098947763443,38.055510153476725,0.0001,0.5,0.01
32,0.010422700857743621,0.012540899515151978,0.0027941756788641215,0.27551634252071383,38.06083539743821,0.0001,0.5,0.01
33,0.010584473051130772,0.01279496131464839,0.002854267880320549,0.2759858599305153,38.07087719012037,0.0001,0.5,0.01
34,0.010690824454650283,0.01301631730981171,0.0028623140905983746,0.2751508831977844,38.03804264096526,0.0001,0.5,0.01
35,0.011204810868948699,0.01359641677699983,0.0030857952614314855,0.2863704887032509,38.022576267494,0.0001,0.5,0.01
36,0.010438765976577996,0.012671071663498878,0.002708951369859278,0.27487545102834704,38.03538394803475,0.0001,0.5,0.01
37,0.010651553738862276,0.012868129946291447,0.0028727722237817943,0.2781102627515793,38.06079921356692,0.0001,0.5,0.01
38,0.01086180031299591,0.013264890387654304,0.0028886790480464695,0.27850156515836716,38.071682245181826,0.0001,0.5,0.01
39,0.010532689895480871,0.012628576839342714,0.0029055261611938476,0.27656385153532026,38.064108231631174,0.0001,0.5,0.01
40,0.010663050506263972,0.012847203407436609,0.002906064041890204,0.2786416834592819,38.04671688565418,0.0001,0.5,0.01
41,0.010727280648425222,0.013192473221570253,0.002812577073927969,0.272475563287735,38.08817479155916,0.0001,0.5,0.01
42,0.010542299915105104,0.012956284638494252,0.0027647154405713082,0.26817999869585035,38.067558953258384,0.0001,0.5,0.01
43,0.010653990106657147,0.012965963948518037,0.002894818685017526,0.27235989063978194,38.07153365891959,0.0001,0.5,0.01
44,0.010689253360033036,0.013217181134968996,0.002790867399889976,0.2685229152441025,38.08871443603056,0.0001,0.5,0.01
45,0.010566357718780638,0.012976660262793302,0.002835153352934867,0.2660450991988182,38.06499512319611,0.0001,0.5,0.01
46,0.010580302765592933,0.01297204041853547,0.002775893886573613,0.27063357532024385,38.03210710916602,0.0001,0.5,0.01
47,0.01106385420076549,0.013578203860670329,0.0030600200686603783,0.2744742202758789,38.081273084724174,0.0001,0.5,0.01
48,0.010387367848306895,0.01274557586759329,0.002786740455776453,0.26212096989154815,38.0715466750362,0.0001,0.5,0.01
49,0.010584043692797423,0.013098176289349794,0.002775500048883259,0.264720556139946,38.06133629790405,0.0001,0.5,0.01
50,0.010351585280150176,0.012681681476533414,0.0027044458175078034,0.265852170586586,38.060735251572666,0.0001,0.5,0.01
51,0.010771687664091588,0.013527652341872453,0.002802317717578262,0.2606702774763107,38.070453233035906,0.0001,0.5,0.01
52,0.010550474179908634,0.013162305634468794,0.002731799001339823,0.2603421875834465,38.075452909541454,0.0001,0.5,0.01
53,0.010298371780663729,0.012776839174330234,0.0026302756229415534,0.259481446146965,38.070534772200446,0.0001,0.5,0.01
54,0.01062524927780032,0.013329730033874512,0.002775453929789364,0.25726573675870895,38.08591983572107,0.0001,0.5,0.01
55,0.01041139580309391,0.012939071636646987,0.0027542849304154514,0.25647176533937455,38.05797001448151,0.0001,0.5,0.01
56,0.010423653796315192,0.013037142250686884,0.0026980055356398223,0.25560799688100816,38.05993729943315,0.0001,0.5,0.01
57,0.01023488604463637,0.012701375810429454,0.002600820530205965,0.2583787876367569,38.07147745077299,0.0001,0.5,0.01
58,0.010127490935847163,0.012586909653618932,0.0025713519332930448,0.25483602374792097,38.099778744028015,0.0001,0.5,0.01
59,0.010388756403699517,0.013047675034031272,0.0026450985274277627,0.2542369768023491,38.078130670834824,0.0001,0.5,0.01
60,0.010175139112398028,0.012579609435051679,0.002639312385581434,0.25656782001256945,38.034976926028705,0.0001,0.5,0.01
61,0.010462590586394071,0.012910914700478315,0.0027364576212130487,0.2638904443383217,38.06802660643571,0.0001,0.5,0.01
62,0.010458516478538514,0.013202250674366952,0.002673820583149791,0.25204809188842775,38.0795016984744,0.0001,0.5,0.01
63,0.010714209843426943,0.01345401600934565,0.002806734540499747,0.258383469581604,38.07186044986273,0.0001,0.5,0.01
64,0.010313342781737447,0.012971443431451917,0.0026297669799532743,0.2512737590074539,38.08210060071917,0.0001,0.5,0.01
65,0.010523846363648772,0.013240223210304975,0.0026875320076942444,0.2559968802332878,38.09406366722711,0.0001,0.5,0.01
66,0.010322932582348586,0.012831694139167666,0.0026873521017841996,0.25634094506502153,38.09219289962367,0.0001,0.5,0.01
67,0.009958477327600121,0.0124383532628417,0.0024781165225431323,0.25002425372600556,38.066832429875966,0.0001,0.5,0.01
68,0.010017121499404312,0.01256427912041545,0.002534310242626816,0.24678268879652024,38.10195990043746,0.0001,0.5,0.01
69,0.010157493315637112,0.012606788389384747,0.002610290183220059,0.25489540576934816,38.09696058957839,0.0001,0.5,0.01
70,0.010349702136591078,0.012986113801598548,0.0026119233388453723,0.25506835371255876,38.07258079860425,0.0001,0.5,0.01
71,0.010201941020786762,0.012655062414705754,0.0027119139884598555,0.25184529036283493,38.042233219554845,0.0001,0.5,0.01
72,0.010399359231814741,0.013075841097161174,0.002658368870615959,0.25322543501853945,38.0827300097754,0.0001,0.5,0.01
73,0.010637018587440253,0.013374466244131326,0.0027759027224965394,0.2561834117770195,38.09179624054626,0.0001,0.5,0.01
74,0.01027582467533648,0.012979241665452718,0.0025762232532724736,0.24980922996997834,38.065384037683835,0.0001,0.5,0.01
75,0.010098251551389693,0.012721119225025177,0.0025675772526301444,0.24539034336805343,38.08373574806475,0.0001,0.5,0.01
76,0.010336866406723856,0.013143642833456396,0.002595849600620568,0.24671201914548874,38.07360922361751,0.0001,0.5,0.01
77,0.010340988850221038,0.013076751474291087,0.0026371287554502487,0.2484048828482628,38.08487609350228,0.0001,0.5,0.01
78,0.010617116773501039,0.013365234285593032,0.0028027318650856612,0.25331338852643964,38.11126948305212,0.0001,0.5,0.01
79,0.01028102457523346,0.013056331835687161,0.0025616050558164715,0.247205630838871,38.110494653341576,0.0001,0.5,0.01
80,0.009947216184809805,0.012406690949574114,0.00256129696383141,0.2463222262263298,38.093153831018135,0.0001,0.5,0.01
