epoch,total_loss,task_loss,distill_loss,intermediate_loss,val_psnr,lr,alpha,beta
1,1.4610092306137086,0.015647680032998323,0.007923158332705498,1.4492238175868988,37.043615183440515,0.0001,0.5,1.0
2,0.7928775525093079,0.014187830425798893,0.006200636117719114,0.7826833236217499,37.4310582146249,0.0001,0.5,1.0
3,0.6463490045070648,0.014312470871955156,0.005780080668628216,0.6363027286529541,37.59138380379206,0.0001,0.5,1.0
4,0.579052602648735,0.014009717646986245,0.005342420376837254,0.5693765300512313,37.6503099027807,0.0001,0.5,1.0
5,0.536992513537407,0.013786516096442937,0.004949997337535024,0.5276242524385453,37.704105968839826,0.0001,0.5,1.0
6,0.5124075043201447,0.013829267974942923,0.004810172459110617,0.5030877828598023,37.71096495379669,0.0001,0.5,1.0
7,0.49172754883766173,0.013717216979712248,0.004649041192606091,0.4825444173812866,37.75418778978623,0.0001,0.5,1.0
8,0.46902208983898164,0.013400175888091326,0.0044463996309787035,0.4600988030433655,37.8006661626794,0.0001,0.5,1.0
9,0.453943156003952,0.013231374034658074,0.004234308716841042,0.44521031677722933,37.81633554173935,0.0001,0.5,1.0
10,0.44565956592559813,0.013499588612467051,0.004279068498872221,0.4367702382802963,37.801412594499126,0.0001,0.5,1.0
11,0.43642382860183715,0.013640082469210028,0.004117696820758283,0.42754493713378905,37.85022331454773,0.0001,0.5,1.0
12,0.4176637578010559,0.01314057999290526,0.0038775594183243813,0.4091546905040741,37.847863983668354,0.0001,0.5,1.0
13,0.4173850417137146,0.013247691988945008,0.003926888410933316,0.40879775226116183,37.887621862510414,0.0001,0.5,1.0
14,0.41428911447525024,0.013482026243582367,0.003983129668049514,0.4055565369129181,37.88327022804493,0.0001,0.5,1.0
15,0.4066131776571274,0.013385848589241505,0.0038031046045944096,0.39801870167255404,37.89685041507462,0.0001,0.5,1.0
16,0.4024073696136475,0.01337706821039319,0.003822274310514331,0.39380769968032836,37.92303952538301,0.0001,0.5,1.0
17,0.3910996758937836,0.013115669330582023,0.003675875060725957,0.3827039039134979,37.90900901691249,0.0001,0.5,1.0
18,0.39420211672782896,0.013479872886091471,0.0037357802083715797,0.38559428811073304,37.93122246102056,0.0001,0.5,1.0
19,0.3858584761619568,0.01377768136560917,0.003774558866862208,0.377082354426384,37.94520267096503,0.0001,0.5,1.0
20,0.3766919583082199,0.012679443527013064,0.0033836109936237336,0.3686604309082031,37.935146918251014,0.0001,0.5,1.0
21,0.3791732406616211,0.013551651407033205,0.003609879552386701,0.37059247493743896,37.94490160085234,0.0001,0.5,1.0
22,0.37075146555900573,0.012450178284198046,0.003409681566990912,0.3628215342760086,37.92508112508646,0.0001,0.5,1.0
23,0.37057494461536405,0.013239475954324008,0.0034743887349031866,0.3622180104255676,37.94460390783536,0.0001,0.5,1.0
24,0.37009372889995573,0.012790554650127888,0.0032742185425013305,0.3620613431930542,37.96028339562478,0.0001,0.5,1.0
25,0.36121458411216734,0.012728691399097443,0.003331962185911834,0.35318426072597503,37.93364308081564,0.0001,0.5,1.0
26,0.3663242834806442,0.013587180897593499,0.003493507499806583,0.3577839386463165,37.973034207035525,0.0001,0.5,1.0
27,0.3571690249443054,0.012856523860245944,0.003328206508886069,0.34907666087150574,37.94661706022017,0.0001,0.5,1.0
28,0.3568596202135086,0.013247049413621426,0.00334847770514898,0.34856185734272005,37.952120395091626,0.0001,0.5,1.0
29,0.3587935084104538,0.013237178465351463,0.0033975013601593674,0.3504761666059494,37.942045252335376,0.0001,0.5,1.0
30,0.3523234820365906,0.013259835690259934,0.0033757679094560443,0.34400567948818206,37.97741595906321,0.0001,0.5,1.0
31,0.35415673851966856,0.013161589913070202,0.0033406851906329395,0.34590560078620913,37.96118552445368,0.0001,0.5,1.0
32,0.3545172095298767,0.013008086504414677,0.003258784164208919,0.34638377368450163,37.97302524935124,0.0001,0.5,1.0
33,0.3545716631412506,0.013383176829665899,0.003333545411005616,0.3462133038043976,37.944559548277496,0.0001,0.5,1.0
34,0.3484948009252548,0.013036837233230472,0.0032618096331134437,0.34034547686576844,37.98283666016308,0.0001,0.5,1.0
35,0.3459366184473038,0.012672635391354561,0.0032007507258094846,0.3379999250173569,37.99307374718481,0.0001,0.5,1.0
36,0.34171088457107546,0.01302248210646212,0.003071111929602921,0.33366408705711365,37.97301717161419,0.0001,0.5,1.0
37,0.34613398551940916,0.013136727614328264,0.003231761078350246,0.33794974148273466,37.979359761703634,0.0001,0.5,1.0
38,0.3386345368623733,0.013175600208342075,0.0031749914353713395,0.33045924186706543,38.00742196158701,0.0001,0.5,1.0
39,0.3433971256017685,0.013566751461476088,0.0033622475410811604,0.33493262708187105,37.98993064802661,0.0001,0.5,1.0
40,0.33512932240962984,0.012822577357292175,0.003045809310860932,0.32719513058662414,38.01969497114507,0.0001,0.5,1.0
41,0.3361574286222458,0.013029168602079153,0.003146788594312966,0.3280694502592087,37.99638802036528,0.0001,0.5,1.0
42,0.3401934689283371,0.013663139892742038,0.003391670403070748,0.3316660636663437,38.00117923189283,0.0001,0.5,1.0
43,0.3372881203889847,0.012971152178943157,0.003154008649289608,0.32922553896903994,38.005377503506814,0.0001,0.5,1.0
44,0.3329538410902023,0.013098593074828387,0.003180228229612112,0.3248144328594208,38.01659479934376,0.0001,0.5,1.0
45,0.3360882806777954,0.013669645059853791,0.0032495340378955006,0.3276286917924881,38.015661938608176,0.0001,0.5,1.0
46,0.3306828361749649,0.013417248018085956,0.003257243123371154,0.32234559059143064,38.01007239893137,0.0001,0.5,1.0
47,0.32707039535045623,0.012910735104233026,0.002997105193790048,0.31911647498607637,38.01174960146993,0.0001,0.5,1.0
48,0.33101668655872346,0.01329325968399644,0.0031906761508435012,0.32277471899986265,37.99084784947814,0.0001,0.5,1.0
49,0.32930741548538206,0.012916495949029922,0.0031007214426063,0.32129880487918855,37.982654045722285,0.0001,0.5,1.0
50,0.32648586213588715,0.012908964026719332,0.003005278892815113,0.3185287380218506,38.02365982913926,0.0001,0.5,1.0
51,0.3256201750040054,0.01295840355567634,0.003057767360005528,0.3176120901107788,38.023308626583656,0.0001,0.5,1.0
52,0.32412143409252164,0.012855776995420455,0.0029494419251568614,0.31621882677078245,38.02150947228997,0.0001,0.5,1.0
53,0.3253268456459045,0.012725366298109293,0.002965785108972341,0.3174812707304955,38.017551297593556,0.0001,0.5,1.0
54,0.3276314669847488,0.013994102105498315,0.003253885409794748,0.3190074723958969,38.00647459051186,0.0001,0.5,1.0
